Close,Date
1249,19-07-2019
1280.5,22-07-2019
1273.550049,23-07-2019
1259.099976,24-07-2019
1231.5,25-07-2019
1213.800049,26-07-2019
1210.949951,29-07-2019
1180.900024,30-07-2019
1166.25,31-07-2019
1180.25,01-08-2019
1184.349976,02-08-2019
1143.349976,05-08-2019
1128.300049,06-08-2019
1109.400024,07-08-2019
1152.349976,08-08-2019
1162.099976,09-08-2019
1274.75,13-08-2019
1288.25,14-08-2019
1278,16-08-2019
1292.599976,19-08-2019
1275.949951,20-08-2019
1270.949951,21-08-2019
1246.75,22-08-2019
1275.849976,23-08-2019
1266.800049,26-08-2019
1274.849976,27-08-2019
1263.300049,28-08-2019
1241.75,29-08-2019
1248.550049,30-08-2019
1206.400024,03-09-2019
1201.150024,04-09-2019
1198.599976,05-09-2019
1222.5,06-09-2019
1222.199951,09-09-2019
1234.400024,11-09-2019
1210.349976,12-09-2019
1225.599976,13-09-2019
1210.75,16-09-2019
1197.449951,17-09-2019
1205.699951,18-09-2019
1179.050049,19-09-2019
1254.349976,20-09-2019
1239.199951,23-09-2019
1278.699951,24-09-2019
1279.550049,25-09-2019
1296.800049,26-09-2019
1309.050049,27-09-2019
1332.25,30-09-2019
1304.900024,01-10-2019
1311.050049,03-10-2019
1308.099976,04-10-2019
1310.099976,07-10-2019
1324.75,09-10-2019
1362.75,10-10-2019
1352.599976,11-10-2019
1358,14-10-2019
1364.150024,15-10-2019
1372.349976,16-10-2019
1396.5,17-10-2019
1416.349976,18-10-2019
1414.150024,22-10-2019
1392.400024,23-10-2019
1436.449951,24-10-2019
1431.199951,25-10-2019
